review,sentiment
 location room service ,1
No Negative,0
 Great location for theatres and fab rooms that are a good size,1
 Only thing I can complain about was that the batteries were dead in the Remote ,0
No Negative,0
 I thought the dullness in the reception area gave a poor first impression lovely building so lets see it,0
 N a,0
No Positive,1
 Lovely breakfast and very accommodating as we arrived late as it was closing ,1
No Positive,1
 Bed very comfortable and location was perfect Just away from the busy oxford street but close enough to be convienient ,1
No Negative,0
There was no table and chairs on the balcony and only 1 plastic chair in the corner of balcony In a double room you d expect there to be 2,0
 hotel needs renovation,0
 Breakfast was nice,1
 Room was very small Breakfast coffee was from a machine not great for France ,0
 The room was amazing value for money Plenty of room to spread out for a young family Self contained kitchenette was handy for a long stay ,1
I do really love the balcony we spent many days here and every morning when I wake up the balcony made me a very happy morning The location is also great for women there are many nice food restaurants and nice shops you do not need to worry that nothing to do in the evening because near the hotel there are also many nice bar with good view Just 5 minutes walk to Luxembourg park is also great,1
 Absolutely great hotel Comfy rooms clean great staff great location ,1
No Negative,0
 il t a beaucoup de monde l usine,0
 A small thing it was difficult to get a fresh fried egg at breakfast time The egg fryer was not very cooperative and often unavailable They charge extra for an omelette ,0
Weird atmosphere in reception many eastern European staff Room Cold and uninspiring 4 per drink of cheap orange juice mixed with tap water Overpriced overall,0
 small room,0
No Positive,1
We usually book a Delux or Club room at this hotel but our funds were a bit tighter for this visit so we booked a Superior Standard Room It was adequate for just going to bed in however the bathroom which only had a shower cubicle some have baths with built in baths our bathroom was ridiculously small no elbow room at all There was significant corrosion under the sink on the fittings and the wall was pitted beneath one of the switches in the bedroom area The heater was effective but very noisy and our window was rather drafty Our room was to the rear of the hotel and by 6am we could hear the faint sound of the tube station below the hotel even on the 3rd floor,0
No Negative,0
 Bed too soft and air conditioning was poor The room was really hot ,0
 Close to hop on off bus to the city The two windows opened up for fresh air Lovely decor in lobby,1
No Negative,0
No Positive,1
 If we had to pick one thing it would be the pillows are a bit to soft but everyone is different Literally could not find fault with anything ,0
 Good clean room which reflects what was promised on the photos Take note not all rooms have the old grand baths ,1
 The location was great for catching the tube and only one stop from King s Cross The staff were extremely friendly and helpful Plus there was an excellent breakfast ,1
 Relaax,1
 Reception staff were very helpful Breakfast was good ,1
 Well positioned several major attractions within walking distance ,1
No Negative,0
 Room was very spacious clean and stylish ,1
No Positive,1
 Room was neat and clean Beds were comfortable TV with lots of channels Tea with percolator provided and some snacks BEST is the location Lots of different type of restaurants close by Favorite for Breakfast was La Roma a small boutique Restaurant located just around the corner GREAT Breakfast and Lunch VERY easy access to UnderGround ,1
The standard room was really too small so they offered to upgrade us to a bigger room We really appreciated that because we were going to spend 6 days in that hotel But even the bigger room is not that big however we realized that this is the case in nearly all London hotels The room did not have central heating It was December and for people like us who are accustomed to warmer climate the room was really cold When we told about it they supplied an electric radiator for us which heated the room but the bathroom was still very cold As in all London central hotels this hotel is also not value for money If it were say in Munich or Milan it definitely would be half this price,0
No Positive,1
No Negative,0
 Nothing,0
 Location,1
Room was extremely small with very strange walk in wardrobe space I feel the layout of the room and the dark wood did not help Not good if you are claustrophobic Also as we were in an internal room we were unable to open the windows Bathroom tiny but adequate with a fantastic shower Anyone of a larger build would struggle to move around in there I would suggest a taxi from the station or underground if you have any luggage as its approx a 7 10 minute walk and there are a few junctions to negotiate,0
 Extremely comfortable clean and well appointed rooms Staff were all very helpful and friendly A good nights sleep too ,1
 The sofa bed is pretty terrible and I absolutely hate the door to the bathroom It s a sliding glass door which provides very little privacy ,0
 For the price of a superior double room I was expecting more and bigger ,0
 Great Room nice and compact but tidy and comfortable,1
 Probably one of the best hotels we have stayed in Staff were excellent and very helpful from the doormen to the front of house staff The champagne and cake for a birthday treat was a very pleasant surprise ,1
No Negative,0
 Nice room and decent evening dinner ,1
Room was a bit small for 2 adults and 2 children not much room to move around in My husband requested a special children s pack for my daughters birthday which included ice cream and it arrived much later and all melted left in our room Also when they removed it and we requested another one it took almost an hour I had also informed the hotel it was my daughters birthday but nothing special was done about this If it wasn t for my husband paying extra for the kids package we could have been at any hotel,0
 Couldn t work out how to turn on the heating plus bathroom was cold ,0
 Bed was too small ,0
 Located opposit Hyde Park Beautiful property great facilities lovely room Staff were amazing suoer helpful Queens Park underground only a minutes walk away Enjoyed our stay very much ,1
 Free use of mobile phone in the room is a excellent bonus Club sandwich on the brunch menu was superb ,1
 Room was quiet and comfortable nice to have iPod speakers ,1
 Location,1
 Excellent location for theatre trip and the hotel rooms are superb,1
We only stayed 2 nights,0
 The bathroom was badly designed You couldn t go in after someone had taken a shower as there was no shower basin just a trendy drain away style hole in the middle The tap didn t work properly either,0
The wines provided are terrible and expensive 17 for half bottle We were very disappointed specially because France is famous for good wine We opened 2 bottles rose and red and only had a sip as it was horrible We were also charged for a bottle of white wine which we didn t have Although we do think they charged us by mistake and we didn t realised while checking out to ask them to remove it,0
No Positive,1
No Negative,0
Room wasn t ready on arrival after travelling from Leeds to London and phoning 2hours away to reserve parking Rude receptionist to girlfriend about parking as it wasn t our fault someone had taken our space We arrived at 16 00 and our room wasn t ready so was given a complimentary drink each and half an hour later still wasn t ready and being told it would be a further 40minutes Just wasn t good enough as we were only staying for 1 night and had a concert to go to,0
No Negative,0
 LOcation OK Room nice ,1
 Price,0
The location was great next to Waterloo and very close to the London Eye You can walk to Big Ben in about 5 minutes Breakfast was excellent with a good choice Our room was quiet and the bed was comfortable Quick check in and out,1
 The most comfortable bed i have ever slept in Staff were so friendly and helpful enjoyed my stay thoroughly,1
 Nice bed Staff were nice ,1
 Staff were excellent balcony room was amazing and loved the extra Club Lounge offerings,1
 The location the friendly staff in all departments made us feel at home as soon as we arrived Multi national staff great team especially the Irishman called Bernad ,1
 The staff were excellent nothing was too much trouble and they had a good knowledge of the area The fact that it was such a direct route for Stade de France we were there for the rugby match France v England ,1
 Location ,1
 Brilliant all round Only minus is that the club lounge could be stocked and tidied more frequently ,1
 Bar,1
 See above,0
 The bed was very comfortable as they always are in Novotel ,1
 Good quality breakfast Good sized studio room for family Friendly staff Clean room Clean hotel Close to tube and all south bank amenities ,1
No Negative,0
we had no cold running water with 2 days to go we were offered another room which was a bit of an inconvenience to move our things and room was much smaller we were offered breakfast on next 2 mornings as compensation as it wasn t included in our price so that did make things a lot more acceptable,0
 All very good Staff were very helpful ,1
 The atmosphere was relaxed and friendly but still professional and well run refreshing for a city centre hotel ,1
 The staff were young but extremely proffessional and helpful Anna Christina Jana Marina Jose ,1
Great location our room on the 11th floor had great views over London Staff were very helpful,1
 Had a studio room for three Room was big and bed was good for a fold away bed,1
The room for the price When I went through booking com I looked at the pictures under the room I was booking The room I got and the pics of the room was completely different ends of quality I m lucky I complained and they gave me an upgrade 150 pounds for this I wouldn t have paid 75 for it,0
No Positive,1
 The hotel is in a very central location but tucked away quite discreetly so it feels private The room was very comfortable no sound carried over from the rooms or hallways allowing us a decent night of sleep The bathroom was beautifully luxurious and clean We also had a drink in the hotel bar which was very good ,1
 Too many issues to get sorted with the room Bath plug not working no remote for the T V piece of skirting board kept falling off which had a nail sticking out had to keep asking to get tea and coffee renewed and for the sheets to be changed Staff were very helpful and kept sending people up to sort problems but for what we were paying we expected more There were also a lot of roadworks outside the hotel which meant we didn t use the hotel cafe and it took longer to walk some places ,0
We stayed here 3 times during our holiday and a couple of the rooms on the lower floors were a bit tired soap holders falling out of the wall fridges that didn t work etc,0
Reception and concierge staff very efficient and friendly Got a free room upgrade much appreciated Studio room 1108 was superb what a view Fantastic in room facilities and very comfortable,1
Booked a room with a view as read some poor reviews stating facing into a wall First room had a view but mould all round windows vile smell of damp Only available other room faced into a court yard of airconditioning units the air con did not work properly in room and couldnt open windows because of all the noise from units outside Was given a small electric fan and complementary bkfast as compensation but did not sleep due to heat lack of aircon and inability to open windows Only one hour free Wifi Would not stay in this hotel again Paid 70 for twin room,0
 The room design and furnishings are superb The location and the view are both excellent ,1
 The layout ,1
No Positive,1
The hotel was so beautiful walking in that I was shocked especially at the price we paid The service was that of a 5 star hotel and I was impressed with the lovely welcome we received the staff helped to carry our bags up gave us a snack and helped us choose the best room for our situation,1
 The breakfast was super delicious the layout of the room was spot on ,1
 Comfy bed,1
Over 50 people queuing for breakfast anticipated 30 minute wait got a refund Really not acceptable at a modern 4 star hotel Special birthday weekend spoiled ended up having breakfast in Waterloo Station,0
 The Way the toilet and kitchen area separated the rooms My watch and file I left in the room was returned the next week ,1
 London,1
 Room service breakfast,1
 Bar staff and Internet ,0
 First room had an awful bathroom with tired and shabby decor including peeling paint on walls Bedroom was cold and basic On request was moved to much better room with great bathroom and a slightly better bedroom Not sure how there can be such a jump in standard for the same price ,0
 Extremely musty throughout with evidence of mould in my room In serious need of renovation ,0
No Positive,1
 Our room view was great,1
 Beautiful Elemis bath products supplied ,1
No Negative,0
No Negative,0
 The room was too small and cramped I requested for a larger room it was declined,0
No Positive,1
 The rooms were very small just a bed and enough room to walk around it Good thing we didn t need to spend a lot of time inside our hotel rooms other than to sleep ,0
Worst hotel ever Awful location bar and restaurant closed all 3 days we were there Non existent receptionists and TV reception was variable Had junior suite but no robes no proper shower either,0
 booked a superior double but when checking in they advise we had been upgraded to penthouse Wonderful,1
 Staff were really helpful friendly ,1
 The furniture is old I wish it was new,0
 The room was pleasant We liked the big bathroom and the bed was large and extremely comfortable The mini fridge safe tv s with English channels and the ability to make drink were pluses,1
No Negative,0
 Location of hotel Disappointed that there were improvements going on in the hotel no on site facilities for meals ,0
No Negative,0
 Can t think of anything really ,0
 The staff were attentive professional and so happy Especially Valentina and Atila I hope I remembered their names correctly The Christmas decorating was beautiful ,1
 Nothing,0
 Nothing ,0
 The sleeper couch which acts as the second bed was uncomfortable and not practical when open as it was in the way of the door ,0
 Location Great very quite for being in the centre of London Great room with a super comfy bed ,1
No Negative,0
 The location was perfect Right outside the RER and Metro Walking distance from the Arc de Triomphe and the Air France shuttle bus The hotel staff found out that we were on honeymoon and upgraded our room Throughout the stay they were very helpful helped us print tickets quick to bring up requests like towels pillows and glasses and gave directions and suggestions for tourist to do s in Paris The rooms are a bit small but it s an average size for European hotel rooms They also look exactly the same as the pictures advertised on the site Overall a great place to stay in Paris Highly recommend it ,1
 Location is superb Underground next door Classy hotel ,1
 The price It is expensive but you definatley get what you pay for here Its perfect,0
 Great location amazing price ,1
No Negative,0
 Was pleased with all aspects,0
 Very nice and comfirtable hotel i personally like it Thank you front desk staff Cheers,1
Only cab service to airport is expensive compared to others 48 pounds plus tip,0
 breakfast food the staff the restaurant,1
 Location,1
 The layout of the room was a bit awkward Otherwise our stay was lovely and we were very pleased with the accommodation ,0
 Lovely quiet room comfortable bed friendly and helpful staff excellent breakfast great location,1
 Everything had a nice feel to it The staff were friendly and were always smiling and laughing ,1
 Noisy kids in pool meant I didn t go in but it was Easter so to be expected I guess ,0
 Location staff and breakfast was super Having laundry facilities was a bonus ,1
 Bed was a bit small and air conditioning had a noise problem at some point was fixed quickly but recurred a few times,0
 black makesitabit impracticle at times,0
 good location,1
 The room was quite small and the view was quite bad but okay as we only stayed for a night,0
 The location was terrible it was too far away from the sights area is run down Hotel wasn t easy to find even with sat nav and parking proved difficult to get in and out Breakfast in the hotel was poor quality runny snotty eggs were the only cooked item The same food was brought out that had been out the day before The same Stale quiche had been put out all three mornings I was there ,0
The hotel location was great The hotel room was excellent and I can say that it can be compared to 5 stars hotels The room was always clean with beautiful views,1
 The Club lounge was good for breakfast however not up to much for the remainder of the day no spirits Canap s or snacks only beer and mixers and water,0
 A little noisey due to its location on a main road and junction ,0
The room wasn t ready when we arrived at 4 00pm Our room should have been available 2 00pm The sofa bed was not very comfortable,0
 A bit of noise at night from the backyard machines ,0
No Negative,0
 None,0
 Breakfast lovely,1
 Reasonable price and good location breakfast is ok,1
 Studio apartment was great location brilliant for all nearby attractions and waterloo station Staff in the bar Angela and Georgia were very professional and friendly ,1
No Negative,0
No Negative,0
 Nothing,0
No Positive,1
 Excellent location staff were very warm welcoming helpful Was pleasantly surprised at the room size very spacious for a city hotel tea coffee facilities fridge in room Would highly recommend definitely return ,1
 Bit far from main centre of Paris and nothing to to do in the area at night,0
No Positive,1
 very modern comfy rooms very clean lovely staff good wifi ok location good breakfast not included with room price ,1
 Hotel was very comfortable we had a junior suite which was super food and drinks very good and not over priced Toiletries also first rate ,1
No Positive,1
 Clean relatively comfortable breakfast fine close to station,1
 It s very near to London Eye,1
 Great location,1
No Negative,0
 Considerate helpful and friendly staff Lovely room value for money Apex the duck gift in bathroom ,1
 Room clean and bed comfy Lots of choice at breakfast and all well cooked and presented ,1
 The hotel is lovely as well are the staff nothing was to much trouble and we were even upgraded to a studio which was great surprise can t wait to stay again when we re next in London,1
Great location great service lovely bathrooms with bath and walking in shower 100 quality,1
Nothing best place i ve stayed in London in the last 5 years,0
 Great location lovely rooms,1
 Friendly staff excellent location really worth the price for a superior double room on a July Friday night in centre London Asked for a room with a park view and they managed to arrange one Although the police siren at night was a bit annoying but this was not a problem for us ,1
 Location Location Location You can not beat this location if you are traveling with kids We were steps away from the London Eye and enough children activities to consume a full day When tired we easily walked back to the hotel The next day we were within walking distance to the waterloo train station all of the hop on hop buses stopped near by and the city buses ran through the night with stops very close to the hotel At the end of a long day it was great to lay in bed with BIg Ben and the London Eye as my view No need for an alarm clock Just look up and Big Ben was close enough to tell you the time Can t wait to stay here again ,1
No Positive,1
The AC couldn t keep the room cool during the day even with the shades down About 1 3 of the TV channels didn t work due to weak signal Only one elevator bank for guests it s a walk from the higher number rooms There are other lifts but they re staff only,0
Good breakfast but 25euro per head a little expensive,1
No Negative,0
 Very small bathroom,0
 Nice modern hotel with excellent facilities and staff ,1
No Positive,1
 All was good,0
No Negative,0
 Comfortable bedroom plenty of room Breakfast well organised and an enjoyable meal Good location close to the underground ,1
Professional and courteous staff who always had a smile on their face especially Bernard concierge Lovely room which was immaculately clean and extremely comfortable We received a bottle of sparkling wine and some lemon cake in our room for our 25th wedding anniversary which was a really nice gesture from the hotel A well presented breakfast with quality items along with good service as to be expected,1
 The beds ,0
 Hi There The staff was Friendly prompt on taking care of me ,1
The location is good Near hyde park and Quinsway and Bayswater metro stations The hotel is good but could have been better You can find a lot of restaurants and coffee shops around within 5 min walk,1
 Had to chase for room servicing day two and then not serviced very well decided to do it myself ,0
 mattress could be firmer ,0
 Epensive unless you get a special fare,0
No Negative,0
Spacious rooms with nice view knowing I was in the 10 th floor with a great bathub near to the metro nice breakfast as well,1
 To be honest everything warm hospitality and the service was amazimg very helpful staff definitely i will be back again ,1
 design of the room ,1
 Staff and location awesome,1
 The rooms were incredibly small and cramped We struggled to even get through the door to our room The rooms were not clean there were very big brown stains on the carpet The hotel is dated and the fixtures including the thermostat were falling off the wall in some cases ,0
 The room was too small,0
 Friendly staff good location great room,1
No Negative,0
 We arrived earlier than check in with theatre tickets booked We were able to leave our bags etc and enjoy the show without any worries ,1
They confirmed 2 hours genius late check out by email but reception denied it had to ask it again on the day of check out,0
 Rooms were a bit small but then this IS London,0
 So close to Paddington and Lancaster Gate stations Busses also close free daily newspaper ,1
No Negative,0
 Good location near Euston station,1
 No complaints ,0
 There was constant cold draft coming from the window which made the room cold at night Even though the windows were closed it did not make any difference I hope the hotel can look into this matter ,0
 Helpful staff Brilliant location Comfortable huge bed ,1
 Nice bar friendly staff,1
 Great location near Paddington very friendly staff Good simple breakfast Excellent value for the price ,1
 Letter of complaint already written Small room with nowhere to work No shower as such just a wet room and you could not open bathroom door to get in there,0
 I loved the location and the helpful staff ,1
 Good location Attentive and polite staff ,1
 The Location,1
 I could not find an electrical socket close to a mirror for my hair straighteners,0
 exceptionally polite friendly helpful staff beautiful historic building with many original features very good breakfast comfortable bed and pillows Ideal location for events in Hyde Park,1
 The staff we re amazing and went beyond the call of duty My daughter and I were made to feel welcome and taken care of The room was clean and well laid out Attention to detail was superb ,1
The shower didn t work and wasn t looked at until the 2nd evening of our 2 night stay after we spoke to reception the afternoon of our day of arrival the following morning and afternoon The room was incredibly hot despite also informing reception of this on the 3 occasions we complained about the shower We were told the room temperature was controlled by computer and that it would be adjusted This was never done I was also given a discount card and told I could use this for a 5 discount on the hotel bar and restaurants When I purchased a rum and ginger at the bar I was told this discount was for soft drinks only and charged the full 9 90 for my drink that s not a typo it was nearly 10,0
 Bathroom shelf was sloping and all the shaving stuff etc just slid off ,0
 The room which we were in was a standard one needs a revamp There was black mild on bathroom tiles if any older persons were stopping in that room it s very difficult to get into the bath ,0
 First day cold water and no breakfast Localization very bad on a dangerous zone ,0
 We stayed in a studio room The room was spacious It was clean the bed was very comfortable The staff were helpful polite and professional ,1
 I felt on reflection that it was pricey for just a room,0
 My room had an insect problem but that was quickly resolved It s other things such as the drapes hanging off the rod and the dirty wallpaper and carpeting that were concerning The shower sprayed the whole bathroom impossible to contain without a bigger glass panel or shower curtain It is a lovely building but needs some upkeep inside ,0
No Negative,0
No Negative,0
 Breakfast,1
 The bed is super comfortable I could close the curtains and make it very dark make tea in the morning in teapot there And of course it is very clean ,1
 We got scammed,0
 It was the quietest room in London that I have ever stayed in,1
No Positive,1
 Friendly and helpful staff Location in easy walking distance of theatres shops and river Hotel was quiet although on a busy street ,1
Wifi does not work in the room its a shame for a big business city like london in 2016 to dont provide proper wifi Had to work from the toilet where the signal was here,0
 the traffic noise at night,0
 Bed was a little firm ,0
 Very pleased with the room the service and the breakfast,1
 Rooms smaller than expected,0
No Negative,0
 The welcome the nice gestures the friendly helpful staff the wonderful breakfast the location the beautiful building The room was very adequate for my granddaughter and me The bathroom is small but very modern ,1
 Nice room but view of the station roof ,1
 Bathrooms are flooding when showering design fault Still they are clean and large Breakfast lacks vegetables ,0
 I contacted your office by email to discuss a refund for one night because the facility had a filthy room,1
 Location was ideal for my visit Staff were very friendly and helpful Room was modern and clean ,1
 Hangar space limited ,0
 None ,1
 Nothing no complaints throughout our stay,0
 Location,1
We came for a short stay for my partner s 30th I contacted the hotel and they laid out some complimentary treats which was a nice touch Staff were really helpful and friendly and we were pleased with the hotel overall,1
 They have followed through special requests Comfortable bed wide choices for breakfast and very clean ,1
No Negative,0
 In the area around the hotel there was nowhere open for breakfast at all When we asked why its because it is mainly a commuter working area so we ended up not being able to get any breakfast not the Apex hotels fault may I add Advice would be if you have plans near the hotel definitely book breakfast at the Apex The concierge was also a little rude and unhelpful Not a big issue nor is that the hotels fault ,0
We only had two issues On the last morning of our stay the hot water wasn t working in the shower disappointing also we had room service for breakfast but the order only 80 correct,0
 nice room design,1
 Comfy bed nice shower,1
 Location,1
 There was no mirror heating in the bathroom Fogged out mirror wasn t nice ,0
 Very nice people and very helpful,1
 Breakfast was great,1
 Disorganised staff at breakfast and hot buffet was cold,0
No Positive,1
 Room was small for a superior room and poorly lit especially as it was an inside room and overlooked the inside wall of the hotel No view therefore needed better lighting within Restaurant tables were not well laid and had to go searching for cutlery at breakfast ,0
No Negative,0
No Negative,0
 I felt like it was a lot of money fobut what we received,0
We had a very smelly room with an unacceptable view of water pipes with green stuff all over there are no fridges so we ordered an ice bucket which after the ice melted turned out to be unclean and had tissues and garbage at the bottom the rooms were not cleaned as it is supposed to be and the wifi wasn t working until we got a voucher key At the end they charged us 200 GBP for smoking which they hadn t stated it was a non smoking hotel The bathroom spaces are horrible which we couldn t fit into the bathroom to just wash our face in the morning How are we supposed to pay a lot of money if we don t get any good service or a decent hotel room suitable for regular sized humans not skeletons I wouldn t recommend the hotel to anyone I know unless I want them to have a bad time in london,0
 Not value for money,0
 There was always a long walk for restaurants shops Covent Garden area The hotel restaurant had no nice atmosphere ,0
No Negative,0
 We were in a family room Frosted Windows looking at brick wall No natural light and room was very old and cold Not enough towels or toiletries for us all,0
 Location,1
 Good location near to train and underground train ,1
 Only thing was Windows in bathroom need cleaned a lot of black mould on inside of them,0
 Nothing,0
 Mess around the hotel,0
 If you need a place to stay to be close to the Heathrow Express then look no further Great location nice rooms helpful staff ,1
The bedroom was comfortable but didn t like the window overlooking the atrium Bathroom was a wet room which flooded all the floor when the shower was used not ideal Fittings in bathroom tired old and some broken towels old and grey Only stayed 2 nights would not have liked to have stayed longer Expected better from the rate which is charged,0
 The Hotel Russell is one of our favourite London hotels but our room this visit was quite small and there was no view at all from the window BUT it was very good value we booked quite late and it was a busy weekend ,0
 Location was excellent ,1
 View from room was of a wall wasn t made aware of construction of building and change of room before arrival which was disappointing,0
 It definitely needs renovation room sizes were really small didnt seem worth the money or star rating We were disappointed,0
 Change the price ,0
 The hotel was amazing the room we had was lovely and clean beautiful view The staff was polite and helpful we paid extra to have the breakfast it was lovely ,1
 Just a few stains in the room wear and tear but what could be cleaned was clean ,0
 Room was small but manageable we weren t visiting to spend time in a hotel room so it wasn t much of a drawback ,0
 the staff were very friendly attentive and responsive the hotel was perfectly located the house keeping were super in cleaning and responding to my requests,1
 Room was ok but didn t pay for spectacular ,0
No Negative,0
Pillows were lumpy shower drained very slowly so you have to keep stopping it for it to drain breakfast way overpriced at 19 80 asked for a nice view but had a horrid one so kept curtains closed,0
 Breakfast was good and Eden who assisted us at breakfast was very friendly,1
No Positive,1
 The location is great you can find all what you need int that area close to the u derground The hotel is nice clean with a friendly staff ,1
No Negative,0
No Positive,1
 Good location rather close to the center ,1
 Nice location overlooking London Eye Big Ben in case of high floor having the right side ,1
 Size of the room,0
Breakfast was not worth 12 although what there was was delicious,0
 Noise from the air conditioning units We may not be able to afford a room once the improvements are completed,0
 The rooms was excellent Value for money,1
 Breakfast was good not a massive variety but was enough Five minute walk to Norte dame and back streets to very reasonable set price menu at restaurants ,1
 Nice clean beds,1
 Price was acceptable when compared with other major Hotel Brands in the location ,1
 They could improve the hair dryer but this is a minor issue we loved it ,0
 Staff were polite and helpful,1
No Positive,1
 The beds were sooo comfortable the young men to carry the bags were great it was close to two tubes and Kensington,1
 Excellent location for tube restaurants etc,1
 Breakfast should be included at these prices ,0
 The room was refreshed everyday from check in to check out the hotel staff were constantly professional and always helpful Nothing seemed too much to ask ,1
 Nothing it was perfect ,0
 The hotel was near the metro Renovated bathroom Very clean Coffee machine in the room Comfortable bed,1
 Matress was a little on the firm side ,0
No Negative,0
No Negative,0
 this was my all life best hotel and beautiful balding i love to stay again and very central under ground is very near big supermarket is very near what us you need in central london,1
No Positive,1
 Did not like the same breakfast menu every day People with long stay gets bored with eating same thing again n again You need to change the menu on alternate days ,0
I stayed for 5 days in the hotel First of all the room was very small and not like in the picture very small Then the A C controller was not working in the room so each time I had to call the reception to change the temperature of the room And the door of my room was in the front of the lift and because it is very old lift there was noise from the lift They told me they will change the room but they didn t,0
 There s a lot more that could be done Unemptied bins ashtrays Basic amenities Single bedrooms are very small I was expecting small but still surprised ,0
 Not alot,1
 the bar,0
 The staff were friendly and polite The location was ideal for commuting in and out of the centre of London easily There were ample places to go for a meal within walking distance ,1
 For the first timers the location would be confusing as there were many hotels in the same name of Park Grand in around the same location Its hard to find your way back by walking if you forget the landmarks The Bathroom is very small congested ,0
There was no chain on room 515 The deadlock was broken just spun around There is no shower door or curtain in the bathroom The front desk staff seemed a little inexperienced,0
 The room was quite small,0
 I,0
 A bit noisy You can hear a lot through the walls It s a shame the construction is still going on however there is minimal disruption from this and it sounds like it will be great when done ,0
 The rooms are small ,0
 I hated that the bathroom didn t have a real door It was only separated by a sliding partition that didn t offer much privacy The checking in and out process was not smooth Room was not ready when I was told and had to come back a couple of times before it was ready When I checked out I was given somebody else s bill I did not feel that the accommodations equaled the price I was charged ,0
 It was my son s birthday and staff left a card complimentary snacks and drinks etc Kids pack was also great with euros for them to spend in treats ,1
 A great room good location and very comfy bed Shower was awesome too Staff very welcoming and helpful ,1
 breakfast was over cooked and cold,0
 Location is great ,1
 Location of the hotel ,1
Breakfast is expensive especially when I have already paid over 90 for a standard room per night,0
 The helpfulness of the reception staff,1
 the d cor was fantastic ,1
 Service excellent,1
 nothing,0
 Staff service quiet ,1
 Cleaning small rooms Too expensive,0
 The style and character of the hotel as well as the friendly staff ,1
 Room layout and size was really good Location was perfect,1
 Everything,1
No Negative,0
 Room decoration and quality,1
 We had a suite with a kitchenette so plenty of space The room had a coffee maker plus a kettle microwave and small sink all of which were kept very clean The staff were very helpful and attended to queries very promptly In conclusion a very nice hotel ,1
 Friendly staff small boutique hotel nice location on a quiet side street ,1
 Nothing,0
 Nothing,0
 The location of the hotel is perfect It s within walking distance of the major attractions of the city or close to Temple or Blackfriars tube stations should you want to go further afield The superior rooms have very modern decor and the large bath is a real pleasure after a long day walking There are safes in the rooms and tea and coffee making facilities for that first morning cuppa The room was very quiet at night the bed is very large and comfortable the curtains keep the light out overall giving a good nights sleep The staff are very attentive polite and helpful ,1
 I love this building and many of the bedrooms have plenty of space and character ,1
 Service in bar a little slow but that s just looking for a negative really ,0
No Positive,1
No Positive,1
 Room was ready early staff friendly and helpful Lovely breakfast,1
 Breakfast to expensive,0
 Beautiful building packed with original features but with all the usual modern facilities Perfectly located around the corner from the tube station ,1
 Nothing,0
 Bed was comfy with duck feather duvet and pillows We stayed in a deluxe split room and it was very nice Reception staff bar staff was friendly and helpful ,1
 Great location for Hyde Park concerts The room was clean and had everything we needed Reception helpful and attentive ,1
 The air ventilator made noise all night We told the reception but no one bothered to come and check ,0
